SubscriptionID;CustomerID;ProductID;Pattern;StartDate;EndDate;NbrNewspapers;NbrStart;RenewalDate;PaymentType;PaymentStatus;PaymentDate;FormulaID;GrossFormulaPrice;NetFormulaPrice;NetNewspaperPrice;ProductDiscount;FormulaDiscount;TotalDiscount;TotalPrice;TotalCredit
1000687;286997;8;1111110;13/02/2010;14/08/2010;152;10;15/07/2010;BT;Paid;09/02/2010;8636;148;148;0.973684;0;0;0;148;0
1000823;659050;5;1111110;30/01/2010;27/02/2010;25;10;11/02/2010;DD;Paid;20/01/2010;9417;27;27;1.08;0;0;0;27;0
1001004;608896;3;1111110;30/01/2010;09/03/2010;25;25;11/02/2010;DD;Paid;20/01/2010;5389;22.9;22.9;0.916;0;0;0;22.9;0
1001130;799769;8;1111110;13/02/2010;13/03/2010;25;25;18/02/2010;BT;Paid;18/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1001564;451025;8;1111110;16/01/2010;13/02/2010;25;25;16/02/2010;BT;Paid;28/01/2010;9465;23.6;23.6;0.944;0;0;0;23.6;0
1002005;273071;8;1111110;14/02/2010;14/02/2011;304;10;17/01/2011;BT;Paid;08/02/2010;8637;267;267;0.878289;0;0;0;267;0
1002008;105383;8;1111110;31/01/2010;31/01/2011;304;10;17/01/2011;DD;Paid;20/01/2010;8637;267;267;0.878289;0;0;0;267;0
1002058;66016;8;1111110;14/02/2010;25/02/2010;304;10;;BT;Not Paid;;9093;267;267;0.878289;0;0;0;0;0
1002109;59304;3;1111110;14/02/2010;16/08/2010;152;10;19/07/2010;BT;Paid;28/01/2010;8906;148;148;0.973684;0;0;0;148;0
1002158;724763;2;1111110;14/02/2010;16/08/2010;152;10;19/07/2010;BT;Paid;26/01/2010;8641;148;148;0.973684;0;0;0;148;0
1002186;677725;6;1111110;31/01/2010;30/04/2010;76;10;14/04/2010;DD;Paid;20/01/2010;8644;79;79;1.039474;0;0;0;79;0
1002478;595080;7;1111110;05/02/2010;05/03/2010;25;25;17/02/2010;DD;Paid;20/01/2010;9466;23.6;23.6;0.944;0;0;0;23.6;0
1002688;1149691;7;1111110;18/01/2010;30/01/2010;12;5;;BT;Paid;14/01/2010;3394;13.2;13.2;1.1;0;0;0;13.2;0
1003246;141523;2;1111110;17/02/2010;16/02/2011;304;10;17/01/2011;BT;Paid;26/01/2010;8903;267;267;0.878289;0;0;0;267;0
1003293;256307;8;1111110;17/02/2010;16/02/2011;304;10;17/01/2011;BT;Paid;11/02/2010;8637;267;267;0.878289;0;0;0;267;0
1003383;813507;6;1111110;18/02/2010;17/02/2011;304;10;18/01/2011;BT;Paid;16/02/2010;8640;267;267;0.878289;0;0;0;267;0
100353;89299;8;1111110;01/01/2008;30/12/2008;304;30;21/11/2008;BT;Paid;04/01/2008;1027;249;124.5;0.409539;0;124.5;124.5;124.5;0
100354;89299;8;1111110;02/01/2007;31/12/2007;304;25;01/12/2007;BT;Paid;11/12/2006;1026;235;117.5;0.386513;0;117.5;117.5;117.5;0
